Bigrammes :
('qu’on', 'appelle'): 1 
('appelle', 'des'): 1 
('des', '«'): 1 
('«', 'prophéties'): 1 
('prophéties', 'auto-'): 1 
('auto-', 'accomplissantes'): 1 
('accomplissantes', '».'): 1 
('».', 'D’ailleurs,'): 1 
('D’ailleurs,', 'maintenant'): 1 
('maintenant', 'que'): 1 
('que', 'j’y'): 1 
('j’y', 'pense,'): 1 
('pense,', 'c’est'): 1 
('c’est', 'même'): 1 
('même', 'vous'): 1 
('vous', 'qui'): 1 
('qui', 'me'): 1 
('me', 'l’avez'): 1 
('l’avez', 'expliqué'): 1 
('expliqué', 'un'): 1 
('un', 'jour.'): 1 
('jour.', '—'): 1 
('—', 'Je'): 3 
('Je', 'le'): 1 
('le', 'crois'): 1 
('crois', 'bien,'): 1 
('bien,', 'Sire'): 1 
('Sire', '»,'): 2 
('»,', 'répondit'): 2 
('répondit', 'Demerzel.'): 2 
('Demerzel.', 'Ses'): 1 
('Ses', 'yeux'): 1 
('yeux', 'scrutaient'): 1 
('scrutaient', 'attentivement'): 1 
('attentivement', 'l’Empereur,'): 1 
('l’Empereur,', 'comme'): 1 
('comme', 'pour'): 2 
('pour', 'voir'): 1 
('voir', 'jusqu’où'): 1 
('jusqu’où', 'il'): 1 
('il', 'pouvait'): 1 
('pouvait', 'se'): 1 
('se', 'permettre'): 1 
('permettre', 'd’aller.'): 1 
('d’aller.', '«'): 1 
('«', 'Pourtant,'): 1 
('Pourtant,', 's’il'): 1 
('s’il', 'devait'): 1 
('devait', 'en'): 1 
('en', 'être'): 1 
('être', 'ainsi,'): 1 
('ainsi,', 'n’importe'): 1 
('n’importe', 'qui'): 2 
('qui', 'pourrait'): 1 
('pourrait', 'prophétiser.'): 1 
('prophétiser.', '—'): 1 
('Les', 'prophètes'): 1 
('prophètes', 'ne'): 1 
('ne', 'seraient'): 2 
('seraient', 'pas'): 2 
('pas', 'tous'): 1 
('tous', 'également'): 1 
('également', 'crédibles,'): 1 
('crédibles,', 'Demerzel.'): 1 
('Demerzel.', 'Pourtant'): 1 
('Pourtant', 'un'): 1 
('un', 'mathématicien,'): 2 
('mathématicien,', 'capable'): 1 
('capable', 'de'): 2 
('de', 'soutenir'): 1 
('soutenir', 'sa'): 1 
('sa', 'prophétie'): 1 
('prophétie', 'à'): 1 
('à', 'coups'): 1 
('coups', 'de'): 1 
('de', 'formules'): 1 
('formules', 'et'): 1 
('de', 'terminologie,'): 1 
('terminologie,', 'pourrait'): 1 
('pourrait', 'bien'): 1 
('bien', 'n’être'): 1 
('n’être', 'compréhensible'): 1 
('compréhensible', 'pour'): 1 
('pour', 'personne'): 1 
('personne', 'et'): 1 
('et', 'néanmoins'): 1 
('néanmoins', 'crédible'): 1 
('crédible', 'pour'): 1 
('pour', 'tout'): 1 
('tout', 'le'): 1 
